City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,minas de marcona,-15.2119,-75.1103,16.04000000000002,82,75,4.7,PE,1697720887
110,ortigueira,-24.2083,-50.9494,19.889999999999986,88,97,2.35,BR,1697720887
111,soure,-0.7167,-48.5233,29.680000000000007,69,91,6.31,BR,1697720887
112,vorkuta,67.5,64.0,0.4900000000000091,98,100,3.35,RU,1697720887
113,la'ie,21.6477,-157.9253,26.129999999999995,74,3,1.34,US,1697720887
114,canutama,-6.5339,-64.3831,35.5,35,6,0.86,BR,1697720887
115,yamba,-5.9,22.3,33.920000000000016,38,95,1.86,CD,1697720887
116,petropavlovsk-kamchatsky,53.0452,158.6483,6.509999999999991,88,0,3.0,RU,1697720888
117,gafanha da nazare,40.6362,-8.7134,17.939999999999998,96,100,8.6,PT,1697720888
118,roma,43.2128,-75.4557,11.069999999999993,84,0,2.57,US,1697720764
119,kinablangan,7.6947,126.5503,26.74000000000001,84,10,1.9,PH,1697720888
120,la ronge,55.1001,-105.2842,6.149999999999977,91,2,2.76,CA,1697720888
121,iqaluit,63.7506,-68.5145,0.0,86,100,7.2,CA,1697720888
122,georgetown,5.4112,100.3354,28.110000000000014,78,40,1.03,MY,1697720801
123,port mathurin,-19.6833,63.4167,24.30000000000001,77,15,5.47,MU,1697720888
124,tiksi,71.6872,128.8694,-8.70999999999998,96,95,1.42,RU,1697720866
125,kaiyuan,23.6977,103.3037,20.670000000000016,75,86,1.95,CN,1697720889
126,palmer,42.1584,-72.3287,13.379999999999995,86,100,0.0,US,1697720715
127,ballina,-28.8667,153.5667,14.470000000000027,75,100,2.83,AU,1697720889
128,al jawf,29.5,38.75,27.519999999999982,23,69,4.45,SA,1697720889
129,kerikeri,-35.2268,173.9474,16.769999999999982,93,100,0.89,NZ,1697720889
130,zyryanovsk,49.7386,84.2719,10.550000000000011,54,0,0.72,KZ,1697720889
131,luquillo,18.3725,-65.7166,31.389999999999986,86,40,2.94,PR,1697720889
132,wailua homesteads,22.0669,-159.378,22.589999999999975,79,75,0.0,US,1697720889
133,ust-nera,64.5667,143.2,-15.839999999999975,94,100,0.45,RU,1697720890
134,kapuskasing,49.4169,-82.4331,9.199999999999989,93,100,1.54,CA,1697720890
135,astolfo dutra,-21.3153,-42.8622,22.819999999999993,81,100,1.42,BR,1697720890
136,trevelin,-43.0858,-71.4639,11.220000000000027,75,90,2.16,AR,1697720890
137,west island,-12.1568,96.8225,26.139999999999986,89,40,4.12,CC,1697720890
138,iskateley,67.6803,53.1512,1.2699999999999818,89,100,4.02,RU,1697720890
139,sibul,15.169,121.0616,25.389999999999986,93,100,0.77,PH,1697720890
140,port lincoln,-34.7333,135.8667,19.569999999999993,42,5,4.11,AU,1697720891
141,papao,-17.75,-149.55,24.95999999999998,78,67,2.64,PF,1697720891
142,port augusta,-32.5,137.7667,21.05000000000001,16,8,2.15,AU,1697720891
143,thunder bay,48.4001,-89.3168,8.100000000000023,93,100,0.0,CA,1697720891
144,papatowai,-46.5619,169.4708,11.430000000000007,80,100,7.62,NZ,1697720891
145,filey,54.21,-0.2892,15.180000000000007,93,100,4.47,GB,1697720891
146,sainte-suzanne,-20.9061,55.6089,27.25,84,100,3.6,RE,1697720891
147,atafu village,-8.5421,-172.5159,28.70999999999998,73,100,3.6,TK,1697720892
148,harstad,68.799,16.5293,0.8100000000000023,75,27,4.92,NO,1697720892
149,aasiaat,68.7098,-52.8699,-10.649999999999977,81,100,2.01,GL,1697720892
150,inirida,3.8653,-67.9239,27.170000000000016,84,70,0.55,CO,1697720892
151,longyearbyen,78.2186,15.6401,3.0600000000000023,87,100,17.49,SJ,1697720892
152,ponta delgada,37.7333,-25.6667,21.920000000000016,60,20,6.71,PT,1697720892
